longitude;latitude;ADG443_NN;CHL_OC4ME;KD490_M07;PAR;TSM_NN;aphy_443;bbp_443
9.4881560000;59.1569220000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.4881560000;59.1569220000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.4979600000;59.1563390000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.4979600000;59.1563390000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.5080500000;59.1557380000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.5080500000;59.1557380000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.5183630000;59.1551230000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.5183630000;59.1551230000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.5294490000;59.1544610000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.5294490000;59.1544610000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.5294490000;59.1544610000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.5402150000;59.1538160000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.5402150000;59.1538160000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.5513120000;59.1531510000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.5513120000;59.1531510000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.5625320000;59.1524780000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.5625320000;59.1524780000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.5625320000;59.1524780000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.5735220000;59.1518180000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.5735220000;59.1518180000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.5849440000;59.1511300000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.5849440000;59.1511300000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.5950540000;59.1505210000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.5950540000;59.1505210000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.5950540000;59.1505210000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.6047980000;59.1499330000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.6047980000;59.1499330000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.6149600000;59.1493190000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.6149600000;59.1493190000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.6251560000;59.1487020000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.6251560000;59.1487020000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.6354340000;59.1480800000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.6354340000;59.1480800000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.6354340000;59.1480800000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.6461160000;59.1474320000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.6461160000;59.1474320000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.6567430000;59.1467860000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.6567430000;59.1467860000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.6675080000;59.1461310000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.6675080000;59.1461310000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.6675080000;59.1461310000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.6781950000;59.1454800000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.6781950000;59.1454800000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.6901980000;59.1447480000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.6901980000;59.1447480000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.7023680000;59.1440040000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.7023680000;59.1440040000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.7023680000;59.1440040000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.7135090000;59.1433220000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.7135090000;59.1433220000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.7230110000;59.1427400000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.7230110000;59.1427400000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.7331120000;59.1421200000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.7331120000;59.1421200000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.7446580000;59.1414100000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.7446580000;59.1414100000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.7446580000;59.1414100000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.7569440000;59.1406540000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.7569440000;59.1406540000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.7687510000;59.1399260000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.7687510000;59.1399260000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.7792400000;59.1392790000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.7792400000;59.1392790000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.7883680000;59.1387150000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.7883680000;59.1387150000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.7883680000;59.1387150000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.7979690000;59.1381210000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.7979690000;59.1381210000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.8096050000;59.1374000000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.8096050000;59.1374000000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.8204210000;59.1367290000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.8204210000;59.1367290000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.8301480000;59.1361250000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.8301480000;59.1361250000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.8301480000;59.1361250000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.8405140000;59.1354800000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.8405140000;59.1354800000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.8508140000;59.1348380000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.8508140000;59.1348380000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.8608350000;59.1342130000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.8608350000;59.1342130000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.8707280000;59.1335960000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.8707280000;59.1335960000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.8707280000;59.1335960000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.8809870000;59.1329540000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.8809870000;59.1329540000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.8914310000;59.1323000000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.8914310000;59.1323000000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.9016970000;59.1316570000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.9016970000;59.1316570000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.9119450000;59.1310140000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
