longitude;latitude;ADG443_NN;CHL_NN;CHL_OC4ME;IWV;KD490_M07;PAR;T865;TSM_NN;aphy_443;bbp_443
9.6364660000;58.8673720000;0.23025;3.30891;11.35320;13.80000;0.65902;1430.31494;0.05669;2.17404;Invalid pos.;Invalid pos.
9.6370450000;58.8699350000;0.21030;2.76023;14.63371;13.20000;0.69586;1396.85046;0.05669;2.17404;Invalid pos.;Invalid pos.
9.6376240000;58.8724970000;0.23025;3.30891;15.73441;12.90000;1.10486;1363.38586;0.06299;2.17404;Invalid pos.;Invalid pos.
9.6382030000;58.8750600000;0.23025;3.07744;15.73441;12.60000;0.99098;1356.69287;0.06299;2.26665;Invalid pos.;Invalid pos.
9.6387820000;58.8776220000;0.25210;3.07744;26.14104;12.30000;0.91333;1329.92126;0.06929;2.17404;Invalid pos.;Invalid pos.
9.6393610000;58.8801850000;0.26379;2.96784;29.14519;12.30000;1.57344;1309.84253;0.05669;2.00000;Invalid pos.;Invalid pos.
9.6399400000;58.8827480000;0.30221;3.55780;21.80633;12.60000;1.16662;1343.30713;0.06299;2.17404;Invalid pos.;Invalid pos.
9.6405190000;58.8853100000;0.30221;3.55780;23.44654;12.30000;2.71063;1329.92126;0.06299;2.17404;Invalid pos.;Invalid pos.
9.6410990000;58.8878730000;0.27602;3.43110;10.18296;12.00000;0.55980;1363.38586;0.05669;2.08520;Invalid pos.;Invalid pos.
9.6416810000;58.8904350000;0.27602;2.66193;34.93873;12.30000;1.19878;1396.85046;0.08819;1.37393;Invalid pos.;Invalid pos.
9.6422630000;58.8929980000;33.69450;1.00000;Invalid pos.;12.60000;Invalid pos.;1517.32288;0.26457;51.79179;Invalid pos.;Invalid pos.
9.6428440000;58.8955600000;Invalid pos.;Invalid pos.;Invalid pos.;8.10000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.6434260000;58.8981230000;Invalid pos.;Invalid pos.;Invalid pos.;7.20000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
